tv,radio,social_media,sales
21854.31,5332.39,2046.82,85184.29
47782.14,11754.22,1987.92,168141.77
37939.73,17713.03,4625.02,149536.94
31939.63,15180.05,1998.18,105928.5
12020.84,16518.1,2087.8,74003.01
12019.75,13858.1,4037.59,61477.7
7613.76,14460.98,2798.96,42239.46
43977.93,17285.52,4106.84,161349.37
32050.18,6494.02,1261.46,88759.95
36863.27,10809.65,2950.28,132365.95
5926.3,5981.77,1134.45,17025.06
48645.94,19778.02,1250.61,162703.45
42459.92,18993.07,4625.75,142958.65
14555.26,2709.68,1556.98,59635.67
13182.12,14700.35,3129.68,56869.09
13253.2,18654.47,2644.38,84400.77
18690.9,5250.36,2389.37,59784.91
28614.04,12223.01,4599.33,89402.72
24437.53,18478.79,1087.29,90409.18
18105.31,2611.03,3655.16,72418.17
32533.38,14553.56,4853.58,120298.29
11277.22,7352.28,3240.67,40997.54
18146.51,18639.13,4747.29,86372.05
21486.28,19479.05,1209.03,99299.76
25523.15,18996.8,2675.17,117576.22
40332.92,10535.86,2040.63,152307.86
13985.32,17516.77,3923.28,66595.07
28140.55,17201.89,4925.19,99426.6
31658.66,7743.81,2026.12,103470.1
7090.27,16920.48,3616.7,51062.69
32339.52,2666.14,1792.39,92276.38
12673.59,12732.86,3261.32,49179.21
7927.32,6140.16,2855.73,37857.94
47699.85,4170.2,4888.02,151312.34
48453.44,3385.16,3434.11,152483.08
41377.88,14533.2,2398.03,139547.5
18707.62,8117.75,1456.38,66723.67
9395.25,15045.8,1604.99,42314.61
35790.49,3176.41,1901.27,121988.7
24806.86,7675.23,2003.87,97287.85
10491.72,11710.84,4402.46,32780.77
27282.96,16233.02,3244.89,98525.75
6547.48,7737.55,3093.56,17830.25
45919.42,13266.04,1459.08,151886.62
16645.1,17947.6,4440.56,78242.6
34813.5,13085.54,3891.26,111517.99
19027.0,6193.27,1270.67,57787.64
28403.06,2439.21,3831.34,80744.09
29601.96,17661.78,3174.15,118958.3
13318.45,2382.85,1326.9,44886.52
48631.31,17744.63,2833.2,166710.1
39880.98,11520.87,2938.79,140161.85
47277.45,18903.22,1663.1,165551.93
45267.23,16378.1,4782.79,160043.68
31905.5,19962.81,4399.9,144595.19
46484.34,8312.81,3676.09,167164.89
8982.16,15809.39,2849.18,39089.34
13819.23,9234.76,2647.06,64930.68
7035.23,10637.76,3603.89,46978.24
19639.86,13295.1,3181.73,68970.46
22490.48,17726.19,1249.09,102873.05
17210.71,19713.5,3050.01,98106.7
42293.19,15828.92,4225.61,141510.31
21053.9,9519.8,2836.96,69684.85
17642.05,9584.43,1207.83,78083.32
29421.32,15276.48,4145.11,115966.19
11341.59,6297.99,1805.46,49889.25
41098.86,3988.53,2034.48,133702.51
8354.78,8383.2,1658.83,42375.51
49409.91,7170.3,2320.86,146880.89
39751.01,7333.55,4027.01,142740.04
13942.21,6204.94,3077.54,64368.71
5248.5,2757.68,1819.53,18497.88
41695.76,2321.73,4511.32,130390.77
36808.58,19779.0,4518.33,127042.33
37805.32,9699.92,4482.31,135349.54
39707.17,8917.88,1955.18,139196.49
8332.01,14233.65,2804.96,47127.07
21130.96,5928.57,4939.96,85999.25
10214.11,19099.3,4088.05,57994.53
43839.65,16154.21,1108.67,161950.66
33048.42,3609.4,1260.82,94993.13
19890.41,9516.45,2855.73,75138.25
7860.13,17824.13,4636.88,50891.48
18994.2,19005.18,3154.81,89320.85
19633.25,10413.23,2991.25,72319.95
37832.28,13041.41,1421.89,132455.17
33690.09,5006.61,3627.12,118654.22
44924.57,19841.04,4288.41,162311.83
26249.67,6170.09,2521.68,73199.21
10381.74,18969.17,4102.45,79146.04
37096.02,13693.64,4857.91,148072.02
39235.33,12939.26,1815.07,125099.79
30257.47,11228.39,3093.32,116058.73
39693.52,6152.06,2148.55,124353.18
27220.8,5177.5,4171.42,94149.23
28522.98,5968.75,3310.37,99119.49
24239.35,5355.89,3538.33,80176.97
6143.86,16032.52,4191.66,36738.53
9855.11,8302.25,2583.88,36405.23
6414.31,3041.17,4660.36,16972.95
33638.47,19443.85,3132.12,123329.02
19146.02,17908.15,1631.82,84444.41
27885.68,18699.54,3783.6,106440.55
45840.49,19908.34,4173.05,176291.03
16218.15,5130.11,2267.05,72355.6
23467.23,9132.36,4428.72,80514.06
38999.8,15648.29,4624.57,145178.17
15295.92,14528.37,2107.62,73730.98
8464.1,4770.13,4934.09,39734.56
18038.82,16685.0,1562.85,80684.94
12254.96,6039.93,1808.06,54155.63
46836.39,6028.72,1736.9,155243.19
41365.42,11665.54,4575.96,131505.93
33503.17,12672.92,3617.17,130019.04
44215.73,12441.55,1608.42,160986.63
41165.24,3646.76,2761.29,122713.64
13395.65,17794.3,3461.19,68988.37
45165.15,6780.8,1333.86,153166.87
29270.4,4331.27,4529.67,94479.8
41334.81,17997.47,4214.41,163837.62
45324.11,19201.73,3020.83,189924.06
19310.16,17518.3,4868.51,78782.32
9952.34,16571.29,2671.04,42239.03
15257.08,13794.36,4936.44,71969.19
24219.85,11915.43,3671.68,99584.16
41810.66,3565.76,3538.69,130241.3
43732.88,9352.16,1663.82,160591.4
5312.85,8708.39,4527.71,17878.93
27983.63,6675.57,2709.96,102248.41
23783.5,15021.56,1648.93,88648.7
14994.85,10925.76,1050.43,79092.18
10393.94,3458.83,3239.02,57914.73
20192.68,5963.3,3109.6,63411.22
47430.94,14298.66,3877.41,160183.94
19544.13,3370.36,4561.03,74564.32
28345.58,17321.72,1317.63,107806.83
